UBIGEO,MONTH,RAIN_ANOM_MEAN,TMAX_ANOM_MEAN,TMIN_ANOM_MEAN,PASS
200401,4,3.552713678800501e-16,1.6579330501069005e-15,-1.5395092608135505e-15,True
200401,5,-1.7763568394002506e-16,1.1842378929335003e-16,3.552713678800501e-16,True
200401,6,4.4408920985006264e-17,-1.1842378929335002e-15,2.3684757858670006e-16,True
200401,7,-9.25185853854297e-18,2.4868995751603505e-15,-1.6579330501069005e-15,True
200401,8,-7.401486830834377e-17,1.7763568394002505e-15,4.736951571734001e-16,True
200401,9,0.0,4.736951571734001e-16,-4.736951571734001e-16,True
200401,10,4.884981308350689e-16,1.0658141036401502e-15,3.079018521627101e-15,True
200401,11,-3.2566542055671256e-16,1.6579330501069005e-15,2.3684757858670005e-15,True
200401,12,-3.552713678800501e-16,-7.105427357601002e-16,-1.0658141036401502e-15,True
200402,1,0.0,3.434289889507151e-15,7.105427357601002e-16,True
200402,2,-7.579122514774402e-15,-7.105427357601002e-16,-2.723747153747051e-15,True
200402,3,0.0,2.3684757858670006e-16,5.921189464667501e-16,True
200402,4,4.973799150320701e-15,2.3684757858670006e-16,-1.0658141036401502e-15,True
200402,5,1.4802973661668753e-16,2.3684757858670006e-16,-2.4868995751603505e-15,True
200402,6,-4.4408920985006264e-17,-1.1842378929335003e-16,-9.473903143468002e-16,True
200402,7,-3.8857805861880476e-17,-9.473903143468002e-16,-2.3684757858670006e-16,True
200402,8,5.921189464667501e-17,5.921189464667501e-16,7.105427357601002e-16,True
200402,9,4.736951571734001e-16,5.921189464667501e-16,-8.289665250534502e-16,True
200402,10,1.1546319456101628e-15,2.3684757858670006e-16,2.3684757858670005e-15,True
200402,11,2.3684757858670006e-16,-1.8947806286936005e-15,-3.552713678800501e-16,True
200402,12,-9.473903143468002e-16,1.7763568394002505e-15,2.2500519965736505e-15,True
200403,1,-5.210646728907401e-15,1.1842378929335003e-16,-2.1316282072803005e-15,True
200403,2,-3.315866100213801e-15,7.105427357601002e-16,5.921189464667501e-16,True
200403,3,7.579122514774402e-15,-9.473903143468002e-16,-1.3618735768735254e-15,True
200403,4,-1.4210854715202004e-14,-3.552713678800501e-16,-2.9605947323337506e-16,True
200403,5,-3.434289889507151e-15,-2.4868995751603505e-15,5.921189464667501e-16,True
200403,6,1.7763568394002506e-16,0.0,-1.1842378929335002e-15,True
200403,7,8.141635513917814e-17,2.3684757858670006e-16,1.4210854715202005e-15,True
200403,8,-8.289665250534502e-16,-2.2500519965736505e-15,2.3684757858670006e-16,True
200403,9,-1.3618735768735254e-15,-7.105427357601002e-16,0.0,True
