UBIGEO,VARIABLE,N_INTERSECTING_PIXELS_STATIC,TOTAL_OVERLAP_AREA_M2,DISTRICT_AREA_M2,TOTAL_OVERLAP_AREA_FRACTION
200507,RAIN,13,157678648.9829264,157672223.4535248,1.0000407524499932
200601,RAIN,36,525250230.7373374,525250475.0667606,0.9999995348325518
200603,RAIN,15,187834713.81545863,187834689.86112517,1.0000001275288046
200605,RAIN,80,1646898785.5655892,1646898786.0169249,0.9999999997259481
200606,RAIN,30,476376819.7075132,476375693.5493182,1.0000023640127116
200607,RAIN,18,277054554.5324113,277054554.5526106,0.9999999999270927
200608,RAIN,5,31255798.897757385,31255798.905897412,0.9999999997395674
200801,RAIN,226,5627271202.709466,5627281680.032537,0.9999981381200254
200802,RAIN,2,13766144.118859267,13766144.118872382,0.9999999999990473
200803,RAIN,8,71164627.52325274,71164644.09395638,0.9999997671497715
200804,RAIN,18,262982188.9997511,262982771.6472387,0.9999977844651802
200805,RAIN,16,258920209.92044893,258918425.32807523,1.0000068924889043
200806,RAIN,3,19861045.254273217,19861045.254391994,0.9999999999940196
200101,TMAX,16,194560006.80893242,194559781.23193872,1.0000011594225295
200104,TMAX,36,651336541.3882983,651335043.1665405,1.0000023002320748
200105,TMAX,106,2268344072.4823146,2268347998.562726,0.9999982691895538
200107,TMAX,12,215641793.69023514,215642049.8728908,0.9999988120004618
200108,TMAX,10,100155891.27901132,100155687.10066693,1.0000020386095918
200109,TMAX,15,169856331.08495092,169856325.61880985,1.0000000321809686
200110,TMAX,25,318302357.4113857,318303976.36946326,0.9999949137987655
200111,TMAX,33,552653389.7411835,552653389.7327626,1.0000000000152374
200114,TMAX,71,1484414542.2313123,1484416069.3454156,0.9999989712358045
200201,TMAX,74,1563476549.4531083,1563476535.217629,1.0000000091050163
200202,TMAX,32,559903905.9420362,559903905.6904961,1.0000000004492557
200203,TMAX,11,97107193.50378965,97107193.53407267,0.9999999996881486
