UBIGEO,COD_CULTIVO,CROP_STD,ANO,TEMPORAL_ROLE,VARIABLE,SHARE_FIELD,ANNUAL_DENOMINATOR,DENOMINATOR_STATUS,SOURCE_12_MONTHS_PRESENT,MISSING_MONTH_COUNT,POSITIVE_MONTH_COUNT,NORMALIZED_ENTROPY,CIRCULAR_R,CIRCULAR_MEAN_ANGLE_RAD,CIRCULAR_MEAN_MONTH,K50,K50_START_MONTH,K50_END_MONTH,K50_CAPTURED_SHARE,K75,K75_START_MONTH,K75_END_MONTH,K75_CAPTURED_SHARE,K90,K90_START_MONTH,K90_END_MONTH,K90_CAPTURED_SHARE,DESCRIPTIVE_ONLY,SELECTION_STATUS
200101,13010210000,MANGO,2019,MAIN_TEMPORAL_STRUCTURE,COSECHA,HARVEST_SHARE,619.0,POSITIVE,True,0,1,-0.0,1.0,5.759586531581287,12.0,1.0,12.0,12.0,1.0,1.0,12.0,12.0,1.0,1.0,12.0,12.0,1.0,True,NOT_SELECTED_STAGE_A
200101,13010210000,MANGO,2019,MAIN_TEMPORAL_STRUCTURE,PRODUCCION,PRODUCTION_SHARE,8885.0,POSITIVE,True,0,7,0.7560928094237463,0.6434061334289124,5.73863994608113,11.959994968521034,3.0,11.0,1.0,0.5918964546989308,5.0,9.0,1.0,0.8257737760270119,6.0,9.0,2.0,0.9128868880135059,True,NOT_SELECTED_STAGE_A
200101,13010210000,MANGO,2020,MAIN_TEMPORAL_STRUCTURE,SIEMBRA,SOWN_SHARE,0.0,ZERO,True,0,0,,,,,,,,,,,,,,,,,True,NOT_SELECTED_STAGE_A
200101,13010210000,MANGO,2020,MAIN_TEMPORAL_STRUCTURE,COSECHA,HARVEST_SHARE,1068.0,POSITIVE,True,0,1,-0.0,1.0,5.759586531581287,12.0,1.0,12.0,12.0,1.0,1.0,12.0,12.0,1.0,1.0,12.0,12.0,1.0,True,NOT_SELECTED_STAGE_A
200101,13010210000,MANGO,2020,MAIN_TEMPORAL_STRUCTURE,PRODUCCION,PRODUCTION_SHARE,11005.0,POSITIVE,True,0,5,0.5707091071673484,0.6762251739981169,5.956932864821311,0.37690373323452064,2.0,11.0,12.0,0.5855520218082689,4.0,11.0,2.0,0.810358927760109,5.0,11.0,3.0,1.0,True,NOT_SELECTED_STAGE_A
200101,13010210000,MANGO,2021,MAIN_TEMPORAL_STRUCTURE,SIEMBRA,SOWN_SHARE,0.0,ZERO,True,0,0,,,,,,,,,,,,,,,,,True,NOT_SELECTED_STAGE_A
200101,13010210000,MANGO,2021,MAIN_TEMPORAL_STRUCTURE,COSECHA,HARVEST_SHARE,619.0,POSITIVE,True,0,1,-0.0,1.0,5.759586531581287,12.0,1.0,12.0,12.0,1.0,1.0,12.0,12.0,1.0,1.0,12.0,12.0,1.0,True,NOT_SELECTED_STAGE_A
200101,13010210000,MANGO,2021,MAIN_TEMPORAL_STRUCTURE,PRODUCCION,PRODUCTION_SHARE,8044.0,POSITIVE,True,0,5,0.553300502459123,0.8407298652873431,0.33473758560327843,1.6393016966488987,2.0,1.0,2.0,0.6333913475882645,3.0,1.0,3.0,0.8932123321730483,4.0,12.0,3.0,0.9273993038289408,True,NOT_SELECTED_STAGE_A
200101,13010210000,MANGO,2022,MAIN_TEMPORAL_STRUCTURE,SIEMBRA,SOWN_SHARE,56.0,POSITIVE,True,0,1,-0.0,1.0,1.5707963267948966,4.0,1.0,4.0,4.0,1.0,1.0,4.0,4.0,1.0,1.0,4.0,4.0,1.0,True,NOT_SELECTED_STAGE_A
200101,13010210000,MANGO,2022,MAIN_TEMPORAL_STRUCTURE,COSECHA,HARVEST_SHARE,1124.0,POSITIVE,True,0,1,-0.0,1.0,5.759586531581287,12.0,1.0,12.0,12.0,1.0,1.0,12.0,12.0,1.0,1.0,12.0,12.0,1.0,True,NOT_SELECTED_STAGE_A
