UBIGEO,COD_CULTIVO,CROP_STD,CAMPAIGN_ID,OUTCOME_VALID_FLAG,EXCLUSION_REASON,EXPOSURE_VALID,EXPOSURE_FAILURE_REASON,IDENTIFIED_OBSERVED_WEIGHT_FRACTION,INTERSECTION_STATUS
200203,14010020000,ARROZ,2018/2019,TRUE,<NA>,TRUE,NONE,1,OUTCOME_VALID_EXPOSURE_VALID
200203,14010020000,ARROZ,2019/2020,TRUE,<NA>,TRUE,NONE,1,OUTCOME_VALID_EXPOSURE_VALID
200203,14010020000,ARROZ,2020/2021,TRUE,<NA>,TRUE,NONE,1,OUTCOME_VALID_EXPOSURE_VALID
200203,14010020000,ARROZ,2021/2022,TRUE,<NA>,TRUE,NONE,1,OUTCOME_VALID_EXPOSURE_VALID
200203,14010020000,ARROZ,2022/2023,TRUE,<NA>,TRUE,NONE,1,OUTCOME_VALID_EXPOSURE_VALID
200203,14010070000,MAIZ AMARILLO DURO,2016/2017,TRUE,<NA>,TRUE,NONE,0.082684824902723733,OUTCOME_VALID_EXPOSURE_VALID
200203,14010070000,MAIZ AMARILLO DURO,2017/2018,TRUE,<NA>,TRUE,NONE,0.087636932707355245,OUTCOME_VALID_EXPOSURE_VALID
200203,14010070000,MAIZ AMARILLO DURO,2018/2019,TRUE,<NA>,TRUE,NONE,0.12295081967213115,OUTCOME_VALID_EXPOSURE_VALID
200203,14010070000,MAIZ AMARILLO DURO,2019/2020,TRUE,<NA>,TRUE,NONE,0.14035087719298245,OUTCOME_VALID_EXPOSURE_VALID
200203,14010070000,MAIZ AMARILLO DURO,2020/2021,TRUE,<NA>,TRUE,NONE,0.34375,OUTCOME_VALID_EXPOSURE_VALID
200203,14010070000,MAIZ AMARILLO DURO,2021/2022,TRUE,<NA>,TRUE,NONE,0.082857142857142851,OUTCOME_VALID_EXPOSURE_VALID
200203,14010070000,MAIZ AMARILLO DURO,2022/2023,TRUE,<NA>,TRUE,NONE,0.47115384615384615,OUTCOME_VALID_EXPOSURE_VALID
200204,14010020000,ARROZ,2016/2017,TRUE,<NA>,TRUE,NONE,1,OUTCOME_VALID_EXPOSURE_VALID
200204,14010020000,ARROZ,2017/2018,FALSE,INCOMPLETE_CAMPAIGN_NO_SOURCE_ROWS,FALSE,NO_POSITIVE_UNAMBIGUOUS_ASSIGNED_SIEMBRA,,OUTCOME_INVALID_EXPOSURE_INVALID
200204,14010020000,ARROZ,2018/2019,TRUE,<NA>,TRUE,NONE,1,OUTCOME_VALID_EXPOSURE_VALID
200204,14010020000,ARROZ,2019/2020,TRUE,<NA>,TRUE,NONE,1,OUTCOME_VALID_EXPOSURE_VALID
200204,14010020000,ARROZ,2020/2021,TRUE,<NA>,TRUE,NONE,1,OUTCOME_VALID_EXPOSURE_VALID
200204,14010020000,ARROZ,2021/2022,TRUE,<NA>,TRUE,NONE,1,OUTCOME_VALID_EXPOSURE_VALID
200204,14010020000,ARROZ,2022/2023,TRUE,<NA>,TRUE,NONE,1,OUTCOME_VALID_EXPOSURE_VALID
200204,14010070000,MAIZ AMARILLO DURO,2016/2017,TRUE,<NA>,TRUE,NONE,0.5714285714285714,OUTCOME_VALID_EXPOSURE_VALID
