UBIGEO,COD_CULTIVO,CROP_STD,CULTIVO_SOURCE,ANO,PRODUCCION,HARVEST_AREA,SOWN_AREA,PRECIO,VERDE_ACTUAL,YIELD_RAW,YIELD_UNIT,AREA_HA,MONTHS_PRESENT
200105,13010210000,MANGO,MANGO,2020,18.0,13.0,1.0,1.0233333333333334,13.0,1.3846153846153846,UNRESOLVED,11242.407313147127,12
200105,13010210000,MANGO,MANGO,2021,59.0,13.0,0.0,1.477966101694915,13.0,4.538461538461538,UNRESOLVED,11242.407313147127,12
200105,13010210000,MANGO,MANGO,2022,59.0,6.0,16.0,1.2442372881355932,22.0,9.833333333333334,UNRESOLVED,11242.407313147127,12
200105,13010210000,MANGO,MANGO,2023,102.0,20.0,0.0,1.947549019607843,37.0,5.1,UNRESOLVED,11242.407313147127,12
200105,14010020000,ARROZ,ARROZ,2016,30149.0,3551.0,3522.0,1.2912627284487048,700.0,8.490284426921994,UNRESOLVED,11242.407313147127,12
200105,14010020000,ARROZ,ARROZ,2017,15130.0,1954.0,2871.0,1.3593575677461998,1617.0,7.743091095189355,UNRESOLVED,11242.407313147127,12
200105,14010020000,ARROZ,ARROZ,2018,27229.0,3184.0,2557.0,1.0848723787138712,0.0,8.551821608040202,UNRESOLVED,11242.407313147127,7
200105,14010020000,ARROZ,ARROZ,2019,16082.0,1894.0,2495.0,0.9821489864444721,601.0,8.491024287222809,UNRESOLVED,11242.407313147127,12
200105,14010020000,ARROZ,ARROZ,2020,21983.0,2489.0,3580.0,1.35571850975754,1692.0,8.83206106870229,UNRESOLVED,11242.407313147127,12
200105,14010020000,ARROZ,ARROZ,2021,29940.0,3808.0,2121.0,1.165811623246493,5.0,7.862394957983193,UNRESOLVED,11242.407313147127,12
200105,14010020000,ARROZ,ARROZ,2022,12713.0,1971.0,1971.0,1.8099999999999998,5.0,6.450025367833587,UNRESOLVED,11242.407313147127,12
200105,14010020000,ARROZ,ARROZ,2023,15872.0,1812.0,2068.0,1.519802797379032,225.0,8.759381898454746,UNRESOLVED,11242.407313147127,12
200105,14010070000,MAIZ AMARILLO DURO,MAIZ AMARILLO DURO,2016,5936.0,1282.0,1253.0,1.2108490566037737,0.0,4.6302652106084246,UNRESOLVED,11242.407313147127,12
200105,14010070000,MAIZ AMARILLO DURO,MAIZ AMARILLO DURO,2017,3840.0,816.0,1122.0,1.0334453125,306.0,4.705882352941177,UNRESOLVED,11242.407313147127,11
200105,14010070000,MAIZ AMARILLO DURO,MAIZ AMARILLO DURO,2018,5929.0,1261.0,955.0,1.071425198178445,0.0,4.70182394924663,UNRESOLVED,11242.407313147127,12
200105,14010070000,MAIZ AMARILLO DURO,MAIZ AMARILLO DURO,2019,7560.0,1434.0,1555.0,1.0609523809523809,121.0,5.2719665271966525,UNRESOLVED,11242.407313147127,11
200105,14010070000,MAIZ AMARILLO DURO,MAIZ AMARILLO DURO,2020,7481.0,1784.0,1663.0,1.1959871674909772,0.0,4.193385650224215,UNRESOLVED,11242.407313147127,12
200105,14010070000,MAIZ AMARILLO DURO,MAIZ AMARILLO DURO,2021,12875.0,2575.0,2779.0,1.5383378640776697,204.0,5.0,UNRESOLVED,11242.407313147127,12
200105,14010070000,MAIZ AMARILLO DURO,MAIZ AMARILLO DURO,2022,15810.0,3162.0,2958.0,1.6504111321948134,0.0,5.0,UNRESOLVED,11242.407313147127,11
200105,14010070000,MAIZ AMARILLO DURO,MAIZ AMARILLO DURO,2023,6341.0,1351.0,1608.0,1.4481643273931555,0.0,4.693560325684678,UNRESOLVED,11242.407313147127,12
200105,15010040000,PLATANOS Y BANANAS,PLATANOS Y BANANAS PARA COCCI N (M X paradisiaca),2017,89.0,11.0,0.0,1.1134831460674157,11.0,8.090909090909092,UNRESOLVED,11242.407313147127,12
