year,month,DATE,ICEN
1970,7,1970-07-01,-1.57
1970,8,1970-08-01,-1.41
1970,9,1970-09-01,-0.94
1970,10,1970-10-01,-0.72
1970,11,1970-11-01,-0.62
1970,12,1970-12-01,-0.76
1971,1,1971-01-01,-0.91
1971,2,1971-02-01,-1.01
1971,3,1971-03-01,-0.78
1971,4,1971-04-01,-0.65
1971,5,1971-05-01,-0.72
1971,6,1971-06-01,-0.84
1971,7,1971-07-01,-0.88
1971,8,1971-08-01,-0.79
1971,9,1971-09-01,-0.85
1971,10,1971-10-01,-0.72
1971,11,1971-11-01,-0.67
1971,12,1971-12-01,-0.35
1972,1,1972-01-01,0.14
1972,2,1972-02-01,0.73
1972,3,1972-03-01,1.04
1972,4,1972-04-01,1.11
1972,5,1972-05-01,1.47
1972,6,1972-06-01,1.93
1972,7,1972-07-01,2.45
1972,8,1972-08-01,2.25
1972,9,1972-09-01,2.06
1972,10,1972-10-01,1.7
1972,11,1972-11-01,1.94
1972,12,1972-12-01,1.91
1973,1,1973-01-01,1.58
1973,2,1973-02-01,0.8
1973,3,1973-03-01,-0.02
1973,4,1973-04-01,-0.55
1973,5,1973-05-01,-0.93
1973,6,1973-06-01,-0.98
1973,7,1973-07-01,-1.1
1973,8,1973-08-01,-1.01
1973,9,1973-09-01,-0.94
1973,10,1973-10-01,-0.8
1973,11,1973-11-01,-0.77
1973,12,1973-12-01,-0.84
1974,1,1974-01-01,-0.85
1974,2,1974-02-01,-0.67
1974,3,1974-03-01,-0.39
1974,4,1974-04-01,-0.01
1974,5,1974-05-01,-0.03
1974,6,1974-06-01,-0.09
1974,7,1974-07-01,-0.22
1974,8,1974-08-01,-0.19
1974,9,1974-09-01,-0.37
1974,10,1974-10-01,-0.58
1974,11,1974-11-01,-0.88
1974,12,1974-12-01,-0.85
1975,1,1975-01-01,-0.83
1975,2,1975-02-01,-0.37
1975,3,1975-03-01,-0.02
1975,4,1975-04-01,0.03
1975,5,1975-05-01,-0.37
1975,6,1975-06-01,-0.68
1975,7,1975-07-01,-0.72
1975,8,1975-08-01,-0.78
1975,9,1975-09-01,-1.1
1975,10,1975-10-01,-1.56
1975,11,1975-11-01,-1.69
1975,12,1975-12-01,-1.44
1976,1,1976-01-01,-0.84
1976,2,1976-02-01,-0.3
1976,3,1976-03-01,0.15
1976,4,1976-04-01,0.63
1976,5,1976-05-01,1.23
1976,6,1976-06-01,1.73
1976,7,1976-07-01,1.85
1976,8,1976-08-01,1.62
1976,9,1976-09-01,1.24
1976,10,1976-10-01,0.95
1976,11,1976-11-01,0.77
1976,12,1976-12-01,0.66
1977,1,1977-01-01,0.43
1977,2,1977-02-01,0.25
1977,3,1977-03-01,0.01
1977,4,1977-04-01,-0.15
1977,5,1977-05-01,-0.22
1977,6,1977-06-01,-0.18
1977,7,1977-07-01,-0.24
1977,8,1977-08-01,-0.44
1977,9,1977-09-01,-0.45
1977,10,1977-10-01,-0.34
1977,11,1977-11-01,-0.19
1977,12,1977-12-01,-0.19
1978,1,1978-01-01,-0.1
1978,2,1978-02-01,-0.21
1978,3,1978-03-01,-0.31
1978,4,1978-04-01,-0.56
1978,5,1978-05-01,-0.58
1978,6,1978-06-01,-0.62
1978,7,1978-07-01,-0.73
1978,8,1978-08-01,-0.67
1978,9,1978-09-01,-0.69
1978,10,1978-10-01,-0.29
1978,11,1978-11-01,0.0
1978,12,1978-12-01,0.35
1979,1,1979-01-01,0.25
1979,2,1979-02-01,0.13
1979,3,1979-03-01,0.15
1979,4,1979-04-01,0.33
1979,5,1979-05-01,0.54
1979,6,1979-06-01,0.42
1979,7,1979-07-01,0.38
1979,8,1979-08-01,0.43
1979,9,1979-09-01,0.65
1979,10,1979-10-01,0.68
1979,11,1979-11-01,0.48
1979,12,1979-12-01,0.22
1980,1,1980-01-01,0.11
1980,2,1980-02-01,0.24
1980,3,1980-03-01,0.34
1980,4,1980-04-01,0.37
