UBIGEO,COD_CULTIVO,CROP_STD,ANO,VARIABLE,VALUE,Z_SCORE,THRESHOLD_ABS_Z,ACTION
200105,14010070000,MAIZ AMARILLO DURO,2021,SOWN_AREA,2779.0,5.582062928103188,3.0,RETAIN_FOR_REVIEW
200105,14010070000,MAIZ AMARILLO DURO,2022,SOWN_AREA,2958.0,5.985261697792744,3.0,RETAIN_FOR_REVIEW
200109,14010070000,MAIZ AMARILLO DURO,2022,SOWN_AREA,4094.0,8.544109755710819,3.0,RETAIN_FOR_REVIEW
200109,14010070000,MAIZ AMARILLO DURO,2023,SOWN_AREA,2518.0,4.994158576768137,3.0,RETAIN_FOR_REVIEW
200110,14010070000,MAIZ AMARILLO DURO,2016,SOWN_AREA,1764.0,3.295768228466878,3.0,RETAIN_FOR_REVIEW
200110,14010070000,MAIZ AMARILLO DURO,2022,SOWN_AREA,2076.0,3.998550441557054,3.0,RETAIN_FOR_REVIEW
200110,14010070000,MAIZ AMARILLO DURO,2023,SOWN_AREA,1684.0,3.1155676610078586,3.0,RETAIN_FOR_REVIEW
200401,14010070000,MAIZ AMARILLO DURO,2017,SOWN_AREA,1635.0,3.0051948134392092,3.0,RETAIN_FOR_REVIEW
200307,14010070000,MAIZ AMARILLO DURO,2023,PRECIO,2.552,4.357792619588533,3.0,RETAIN_FOR_REVIEW
200308,14010070000,MAIZ AMARILLO DURO,2023,PRECIO,2.4790697674418607,4.115039352655787,3.0,RETAIN_FOR_REVIEW
200803,14010070000,MAIZ AMARILLO DURO,2021,PRECIO,3.5675555555555554,7.73813874238857,3.0,RETAIN_FOR_REVIEW
200105,14010070000,MAIZ AMARILLO DURO,2017,VERDE_ACTUAL,306.0,3.3690919358637865,3.0,RETAIN_FOR_REVIEW
200108,14010070000,MAIZ AMARILLO DURO,2021,VERDE_ACTUAL,288.0,3.146855495576304,3.0,RETAIN_FOR_REVIEW
200110,14010070000,MAIZ AMARILLO DURO,2016,VERDE_ACTUAL,1068.0,12.777101241367209,3.0,RETAIN_FOR_REVIEW
200111,14010070000,MAIZ AMARILLO DURO,2018,VERDE_ACTUAL,622.01,7.270699574488638,3.0,RETAIN_FOR_REVIEW
200208,14010070000,MAIZ AMARILLO DURO,2021,VERDE_ACTUAL,295.0,3.233280777910325,3.0,RETAIN_FOR_REVIEW
200208,14010070000,MAIZ AMARILLO DURO,2022,VERDE_ACTUAL,295.0,3.233280777910325,3.0,RETAIN_FOR_REVIEW
200803,14010070000,MAIZ AMARILLO DURO,2023,VERDE_ACTUAL,342.0,3.8135648164387517,3.0,RETAIN_FOR_REVIEW
200601,15010040000,PLATANOS Y BANANAS,2019,PRODUCCION,56811.0,3.185428716002908,3.0,RETAIN_FOR_REVIEW
200601,15010040000,PLATANOS Y BANANAS,2020,PRODUCCION,55565.0,3.106072250994833,3.0,RETAIN_FOR_REVIEW
200601,15010040000,PLATANOS Y BANANAS,2022,PRODUCCION,59056.0,3.3284104687662537,3.0,RETAIN_FOR_REVIEW
200601,15010040000,PLATANOS Y BANANAS,2023,PRODUCCION,54656.0,3.048178971145443,3.0,RETAIN_FOR_REVIEW
200605,15010040000,PLATANOS Y BANANAS,2016,PRODUCCION,55185.0,3.081870439836672,3.0,RETAIN_FOR_REVIEW
