CROP,CROP_CODE,UBIGEO,IN_FROZEN_SAMPLE,CENTROID_PRESENT,CENTROID_UNIQUE,CENTROID_X_M,CENTROID_Y_M,FINITE_XY,COVERAGE_STATUS
MAIZ_AMARILLO_DURO,14010070000,200506,TRUE,TRUE,TRUE,504143.96425433294,9465299.8752960619,TRUE,PASS
MAIZ_AMARILLO_DURO,14010070000,200507,TRUE,TRUE,TRUE,488102.60113369039,9465193.7298806198,TRUE,PASS
MAIZ_AMARILLO_DURO,14010070000,200601,TRUE,TRUE,TRUE,550326.91080542293,9466608.0853897929,TRUE,PASS
MAIZ_AMARILLO_DURO,14010070000,200603,TRUE,TRUE,TRUE,512679.82946367963,9466487.3584212065,TRUE,PASS
MAIZ_AMARILLO_DURO,14010070000,200605,TRUE,TRUE,TRUE,523855.81849384564,9498510.5452761222,TRUE,PASS
MAIZ_AMARILLO_DURO,14010070000,200606,TRUE,TRUE,TRUE,523452.99412164732,9441968.2033774965,TRUE,PASS
MAIZ_AMARILLO_DURO,14010070000,200607,TRUE,TRUE,TRUE,543887.18465542991,9477600.9683565684,TRUE,PASS
MAIZ_AMARILLO_DURO,14010070000,200608,TRUE,TRUE,TRUE,535121.43172582739,9465201.6597257331,TRUE,PASS
MAIZ_AMARILLO_DURO,14010070000,200801,TRUE,TRUE,TRUE,537170.97156264249,9346070.7645964641,TRUE,PASS
MAIZ_AMARILLO_DURO,14010070000,200802,TRUE,TRUE,TRUE,528481.61188918247,9400182.805649722,TRUE,PASS
MAIZ_AMARILLO_DURO,14010070000,200803,TRUE,TRUE,TRUE,533010.4987450823,9396727.9931912627,TRUE,PASS
MAIZ_AMARILLO_DURO,14010070000,200804,TRUE,TRUE,TRUE,539759.70993129839,9388163.8305248953,TRUE,PASS
MAIZ_AMARILLO_DURO,14010070000,200805,TRUE,TRUE,TRUE,513897.44573457248,9398849.1369379815,TRUE,PASS
MAIZ_AMARILLO_DURO,14010070000,200806,TRUE,TRUE,TRUE,524994.6551551033,9394042.3048019279,TRUE,PASS
MANGO,13010210000,200101,TRUE,TRUE,TRUE,537849.30542460713,9438262.994955549,TRUE,PASS
MANGO,13010210000,200104,TRUE,TRUE,TRUE,553733.8564617032,9432840.4827977642,TRUE,PASS
MANGO,13010210000,200105,TRUE,TRUE,TRUE,570320.64970890619,9395288.4781868551,TRUE,PASS
MANGO,13010210000,200107,TRUE,TRUE,TRUE,545862.87380045524,9407792.4431437124,TRUE,PASS
MANGO,13010210000,200109,TRUE,TRUE,TRUE,526306.77609200228,9413175.1804329492,TRUE,PASS
MANGO,13010210000,200111,TRUE,TRUE,TRUE,585639.62847449747,9481319.4786660504,TRUE,PASS
MANGO,13010210000,200114,TRUE,TRUE,TRUE,574179.57746411872,9456202.5709601324,TRUE,PASS
MANGO,13010210000,200201,TRUE,TRUE,TRUE,654563.240118096,9481822.365030244,TRUE,PASS
